x,y,alpha
-116.6065277777815,33.524027777782266,-0.15023634831110635
-116.6065277777815,33.52430555556005,-0.15133138497670492
-116.6065277777815,33.524583333337816,-0.14992186427116394
-116.6065277777815,33.5248611111156,-0.17942816515763602
-116.6065277777815,33.525138888893366,-0.15867469708124796
-116.6065277777815,33.52541666667115,-0.1468595266342163
-116.6065277777815,33.525694444448916,-0.15235305825869241
-116.60625000000371,33.521805555560064,-0.14629614849885306
-116.60625000000371,33.52208333333785,-0.14799792567888895
-116.60625000000371,33.522361111115615,-0.14682342112064362
-116.60625000000371,33.5226388888934,-0.14710244039694467
-116.60625000000371,33.522916666671165,-0.1494522988796234
-116.60625000000371,33.52319444444895,-0.1519428143898646
-116.60625000000371,33.523472222226715,-0.14989872773488364
-116.60625000000371,33.5237500000045,-0.14669915040334067
-116.60625000000371,33.524027777782266,-0.15344489614168802
-116.60625000000371,33.52430555556005,-0.14451267818609873
-116.60625000000371,33.524583333337816,-0.14632652203241983
-116.60625000000371,33.5248611111156,-0.15215563774108887
-116.60625000000371,33.525138888893366,-0.15739582975705466
-116.60625000000371,33.52541666667115,-0.1400244136651357
-116.60625000000371,33.525694444448916,-0.1609182357788086
-116.60625000000371,33.5259722222267,-0.15544854601224264
-116.60597222222593,33.520972222226746,-0.14294463396072388
-116.60597222222593,33.521250000004514,-0.15171794096628824
-116.60597222222593,33.521527777782296,-0.15316884716351828
-116.60597222222593,33.521805555560064,-0.1502035359541575
-116.60597222222593,33.52208333333785,-0.1454841544230779
-116.60597222222593,33.522361111115615,-0.14283433059851328
-116.60597222222593,33.5226388888934,-0.1441625952720642
-116.60597222222593,33.522916666671165,-0.1494522988796234
-116.60597222222593,33.52319444444895,-0.14764766891797385
-116.60597222222593,33.523472222226715,-0.14960071444511414
-116.60597222222593,33.5237500000045,-0.14982456962267557
-116.60597222222593,33.524027777782266,-0.1525377780199051
-116.60597222222593,33.52430555556005,-0.14072747031847635
-116.60597222222593,33.524583333337816,-0.15753588577111563
-116.60597222222593,33.5248611111156,-0.15424389640490213
-116.60597222222593,33.525138888893366,-0.1553961137930552
-116.60597222222593,33.52541666667115,-0.13643577694892883
-116.60597222222593,33.525694444448916,-0.14480964342753092
-116.60597222222593,33.5259722222267,-0.15839554369449615
-116.60569444444816,33.520972222226746,-0.144391397635142
-116.60569444444816,33.521250000004514,-0.1462008704741796
-116.60569444444816,33.521527777782296,-0.14054740965366364
-116.60569444444816,33.521805555560064,-0.14163084824879965
-116.60569444444816,33.52208333333785,-0.1391006807486216
-116.60569444444816,33.522361111115615,-0.1212420513232549
-116.60569444444816,33.5226388888934,-0.1313034693400065
-116.60569444444816,33.522916666671165,-0.14899244904518127
-116.60569444444816,33.52319444444895,-0.14764766891797385
-116.60569444444816,33.523472222226715,-0.14917073647181192
-116.60569444444816,33.5237500000045,-0.14845295747121176
-116.60569444444816,33.524027777782266,-0.15170482794443765
-116.60569444444816,33.52430555556005,-0.14072747031847635
-116.60569444444816,33.524583333337816,-0.16370409727096558
-116.60569444444816,33.5248611111156,-0.13533388078212738
-116.60569444444816,33.525138888893366,-0.11605331301689148
-116.60569444444816,33.52541666667115,-0.13700978954633078
-116.60569444444816,33.525694444448916,-0.14480964342753092
-116.60569444444816,33.5259722222267,-0.15100714564323425
-116.60569444444816,33.52625000000447,-0.1370636373758316
-116.6054166666704,33.520972222226746,-0.143451397617658
-116.6054166666704,33.521250000004514,-0.1466112732887268
-116.6054166666704,33.521527777782296,-0.14674904445807138
-116.6054166666704,33.521805555560064,-0.14577120542526245
-116.6054166666704,33.52208333333785,-0.1391006807486216
-116.6054166666704,33.522361111115615,-0.1312748690446218
-116.6054166666704,33.5226388888934,-0.1493330200513204
-116.6054166666704,33.522916666671165,-0.1512423058350881
-116.6054166666704,33.52319444444895,-0.14650806784629822
-116.6054166666704,33.523472222226715,-0.1413068026304245
-116.6054166666704,33.5237500000045,-0.14764766891797385
-116.6054166666704,33.524027777782266,-0.15044833223025003
-116.6054166666704,33.52430555556005,-0.15660475691159567
-116.6054166666704,33.524583333337816,-0.15945256253083548
-116.6054166666704,33.5248611111156,-0.13662921885649362
-116.6054166666704,33.525138888893366,-0.1241935392220815
-116.6054166666704,33.52541666667115,-0.14766263961791992
-116.6054166666704,33.525694444448916,-0.14393616716066995
-116.6054166666704,33.5259722222267,-0.15757397810618082
-116.6054166666704,33.52625000000447,-0.15177235503991446
-116.6054166666704,33.52652777778225,-0.1468700667222341
-116.60513888889261,33.520972222226746,-0.14246400694052377
-116.60513888889261,33.521250000004514,-0.13842642307281494
-116.60513888889261,33.521527777782296,-0.14180965721607208
-116.60513888889261,33.521805555560064,-0.14587507645289102
-116.60513888889261,33.52208333333785,-0.15359350045522055
-116.60513888889261,33.522361111115615,-0.1312748690446218
-116.60513888889261,33.5226388888934,-0.14702537655830383
-116.60513888889261,33.522916666671165,-0.1530472288529078
-116.60513888889261,33.52319444444895,-0.147356778383255
-116.60513888889261,33.523472222226715,-0.1413068026304245
-116.60513888889261,33.5237500000045,-0.14016910394032797
-116.60513888889261,33.524027777782266,-0.1374468058347702
-116.60513888889261,33.52430555556005,-0.14957192043463388
-116.60513888889261,33.524583333337816,-0.14692383507887521
-116.60513888889261,33.5248611111156,-0.13662921885649362
-116.60513888889261,33.525138888893366,-0.13859099646409354
-116.60513888889261,33.52541666667115,-0.14951267838478088
-116.60513888889261,33.525694444448916,-0.13317925731341043
-116.60513888889261,33.5259722222267,-0.15757397810618082
-116.60513888889261,33.52625000000447,-0.14403348664442697
-116.60513888889261,33.52652777778225,-0.13868597149848938
-116.60486111111483,33.520972222226746,-0.1520207871993383
-116.60486111111483,33.521250000004514,-0.14955353736877441
-116.60486111111483,33.521527777782296,-0.1467177470525106
-116.60486111111483,33.521805555560064,-0.14647928873697916
-116.60486111111483,33.52208333333785,-0.1477757195631663
-116.60486111111483,33.522361111115615,-0.1501029779513677
-116.60486111111483,33.5226388888934,-0.15197500586509705
